Subject,CourseTitle,CourseDescription,Component,Section,ClassNbr,Instructor,RequisitesAndConstraints,CreditUnits,Status,Waitlist,Campus,DeliveryType,Days/Times/Location,id,name,Times
Actuarial Science,ACTURSCI 1021B - INTRO TO FINANCIAL SECURE SYS,"Course Description: The nature and cause of financial security and insecurity; public, private and employer programs and products to reduce financial insecurity, including social security, individual insurance and annuities along with employee pensions and benefits. Extra Information: 3 lecture hours.",LEC,001,7285,K. Leistner,RESTRICTED TO YR 1 STUDENTS.,0.50,Not Full,0,Main,In Person,M   W   F 8:30 AM - 9:30 AM PAB-148,ACTURSCI 1021B,INTRO TO FINANCIAL SECURE SYS,"[{'day': 'Monday', 'start': '8:30 AM', 'end': '9:30 AM'}, {'day': 'Wednesday', 'start': '8:30 AM', 'end': '9:30 AM'}, {'day': 'Friday', 'start': '8:30 AM', 'end': '9:30 AM'}]"
Actuarial Science,ACTURSCI 2053 - MATH FOR FINANCIAL ANALYSIS,"Course Description: Simple and compound interest, annuities, amortization, sinking funds, bonds, bond duration, depreciation, capital budgeting, probability, mortality tables, life annuities, life insurance, net premiums and expenses. Cannot be taken for credit in any module in Statistics or Actuarial Science, Financial Modelling or Statistics, other than the minor in Applied Financial Modeling. Antirequisite(s): Actuarial Science 2553A/B. Extra Information: 3 lecture hours.",LEC,001,3718,S. Kopp,"REQUISITES: Prerequisite(s):1.0 course or two 0.5 courses at the 1000 level or higher from Applied Mathematics, Calculus, or Mathematics.",1.00,Not Full,0,Main,In Person,M   W   F 11:30 AM - 12:30 PM SEB-1059,ACTURSCI 2053,MATH FOR FINANCIAL ANALYSIS,"[{'day': 'Monday', 'start': '11:30 AM', 'end': '12:30 PM'}, {'day': 'Wednesday', 'start': '11:30 AM', 'end': '12:30 PM'}, {'day': 'Friday', 'start': '11:30 AM', 'end': '12:30 PM'}]"
Actuarial Science,ACTURSCI 2053 - MATH FOR FINANCIAL ANALYSIS,"Course Description: Simple and compound interest, annuities, amortization, sinking funds, bonds, bond duration, depreciation, capital budgeting, probability, mortality tables, life annuities, life insurance, net premiums and expenses. Cannot be taken for credit in any module in Statistics or Actuarial Science, Financial Modelling or Statistics, other than the minor in Applied Financial Modeling. Antirequisite(s): Actuarial Science 2553A/B. Extra Information: 3 lecture hours.",LEC,002,4604,M. Raaymakers,"REQUISITES: Prerequisite(s):1.0 course or two 0.5 courses at the 1000 level or higher from Applied Mathematics, Calculus, or Mathematics.",1.00,Not Full,0,Main,In Person,M   W   F 11:30 AM - 12:30 PM SEB-1059,ACTURSCI 2053,MATH FOR FINANCIAL ANALYSIS,"[{'day': 'Monday', 'start': '11:30 AM', 'end': '12:30 PM'}, {'day': 'Wednesday', 'start': '11:30 AM', 'end': '12:30 PM'}, {'day': 'Friday', 'start': '11:30 AM', 'end': '12:30 PM'}]"
Actuarial Science,ACTURSCI 2053 - MATH FOR FINANCIAL ANALYSIS,"Course Description: Simple and compound interest, annuities, amortization, sinking funds, bonds, bond duration, depreciation, capital budgeting, probability, mortality tables, life annuities, life insurance, net premiums and expenses. Cannot be taken for credit in any module in Statistics or Actuarial Science, Financial Modelling or Statistics, other than the minor in Applied Financial Modeling. Antirequisite(s): Actuarial Science 2553A/B. Extra Information: 3 lecture hours.",LEC,002,4604,M. Raaymakers,"REQUISITES: Prerequisite(s):1.0 course or two 0.5 courses at the 1000 level or higher from Applied Mathematics, Calculus, or Mathematics.",1.00,Not Full,0,Main,In Person,M   W   F 11:30 AM - 12:30 PM SEB-1059,ACTURSCI 2053,MATH FOR FINANCIAL ANALYSIS,"[{'day': 'Monday', 'start': '11:30 AM', 'end': '12:30 PM'}, {'day': 'Wednesday', 'start': '11:30 AM', 'end': '12:30 PM'}, {'day': 'Friday', 'start': '11:30 AM', 'end': '12:30 PM'}]"
Actuarial Science,ACTURSCI 2427B - LONG TERM ACTUARIAL MATH I,"Course Description: Models for the time until death, single life annuity and life insurance present values and their probability distributions; introduction to equivalence principle and premium calculations. Extra Information: 3 lecture hours, 1 tutorial hour.",LEC,001,4703,K. Leistner,"REQUISITES: Prerequisite(s): A minimum mark of 60% in each of Actuarial Science 2553A/B, either Calculus 2402A/B or Calculus 2502A/B, and Statistical Sciences 2857A/B. Restricted to students enrolled in any Actuarial Science module.",0.50,Not Full,0,Main,In Person,M   W   F 12:30 PM - 1:30 PM B&GS-0165,ACTURSCI 2427B,LONG TERM ACTUARIAL MATH I,"[{'day': 'Monday', 'start': '12:30 PM', 'end': '1:30 PM'}, {'day': 'Wednesday', 'start': '12:30 PM', 'end': '1:30 PM'}, {'day': 'Friday', 'start': '12:30 PM', 'end': '1:30 PM'}]"
Actuarial Science,ACTURSCI 2553A - MATHEMATICS OF FINANCE,"Course Description: Time value of money, accumulation and discount functions, effective rates of interest and discount and present values, as applied to annuities and other financial products, and/or applications including loan repayment schedules and methods. Antirequisite(s): Actuarial Science 2053. Extra Information: 3 lecture hours, 1 tutorial hour.",LEC,001,3624,S. Kopp,"PRIORITY TO STUDENTS ENROLLED IN A MODULE OFFERED BY THE DEPARTMENTS OF APPLIED MATHEMATICS; MATHEMATICS; AND STATISTICAL AND ACTUARIAL SCIENCES.
REQUISITES: Prerequisite(s): A minimum mark of 60% in one of Calculus 1501A/B, Numerical and Mathematical Methods 1414A/B, the former Applied Mathematics 1414A/B, the former Applied Mathematics 1413, or a minimum mark of 85% in Calculus 1301A/B. Integrated Science 1001X with a minimum mark of 60% can be used in place of Calculus 1301A/B.",0.50,Not Full,0,Main,In Person,M   W   F 9:30 AM - 10:30 AM NCB-113,ACTURSCI 2553A,MATHEMATICS OF FINANCE,"[{'day': 'Monday', 'start': '9:30 AM', 'end': '10:30 AM'}, {'day': 'Wednesday', 'start': '9:30 AM', 'end': '10:30 AM'}, {'day': 'Friday', 'start': '9:30 AM', 'end': '10:30 AM'}]"
Actuarial Science,ACTURSCI 3424B - SHORT TERM ACTUARIAL MATH I,Course Description: Insurance loss frequency and severity models; aggregate loss models; risk measures; ruin theory; coverage modifications. Extra Information: 3 lecture hours.,LEC,001,4850,K. Sendova,"REQUISITES: Prerequisite(s): A minimum mark of 60% in Statistical Sciences 3657A/B. Restricted to students enroled in any Actuarial Science module, or those registered in the Honours Specialization module in Statistics or the Honours Specialization in Financial Modelling module.",0.50,Not Full,0,Main,In Person,M   W   F 9:30 AM - 10:30 AM WSC-240,ACTURSCI 3424B,SHORT TERM ACTUARIAL MATH I,"[{'day': 'Monday', 'start': '9:30 AM', 'end': '10:30 AM'}, {'day': 'Wednesday', 'start': '9:30 AM', 'end': '10:30 AM'}, {'day': 'Friday', 'start': '9:30 AM', 'end': '10:30 AM'}]"
Actuarial Science,ACTURSCI 3429A - LONG TERM ACTUARIAL MATH II,"Course Description: Single life annuity and life insurance loss random variables and their distributions, with applications to the analysis of benefit premiums and reserves; survival model estimates; mortality Improvement and longevity models. Extra Information: 3 lecture hours.",LEC,001,4851,X. Liu,REQUISITES: Prerequisite(s): A minimum mark of 60% in each of Actuarial Science 2427A/B and Statistical Sciences 2858A/B. Corequisite(s): Statistical Sciences 3657A/B.,0.50,Not Full,0,Main,In Person,M   W   F 10:30 AM - 11:30 AM WSC-240,ACTURSCI 3429A,LONG TERM ACTUARIAL MATH II,"[{'day': 'Monday', 'start': '10:30 AM', 'end': '11:30 AM'}, {'day': 'Wednesday', 'start': '10:30 AM', 'end': '11:30 AM'}, {'day': 'Friday', 'start': '10:30 AM', 'end': '11:30 AM'}]"
Actuarial Science,ACTURSCI 3431B - LONG TERM ACTUARIAL MATH III,"Course Description: Analysis of probability distributions and present values associated with multiple life models, multiple decrement models and more general multi-state models and applications to life Insurance and other long term coverages including disability Income and other health care coverages. Extra Information: 3 lecture hours.",LEC,001,4852,X. Liu,REQUISITES: Prerequisite(s): A minimum mark of 60% in each of Actuarial Science 3429A/B and in Statistical Sciences 3657A/B. Restricted to students enrolled in any Actuarial Science module.,0.50,Not Full,0,Main,In Person,M   W   F 8:30 AM - 9:30 AM WSC-240,ACTURSCI 3431B,LONG TERM ACTUARIAL MATH III,"[{'day': 'Monday', 'start': '8:30 AM', 'end': '9:30 AM'}, {'day': 'Wednesday', 'start': '8:30 AM', 'end': '9:30 AM'}, {'day': 'Friday', 'start': '8:30 AM', 'end': '9:30 AM'}]"
Actuarial Science,ACTURSCI 4426F - ACTUARIAL PRACTICE I,"Course Description: Introduction to the major areas and issues of actuarial practice, including insurance and annuity product design, pricing and valuation, analysis of the cost of pensions and other employee benefits, asset liability management and professionalism. Extra Information: 3 lecture hours.",LEC,001,3825,K. Leistner,REQUISITES: Prerequisite(s): A minimum mark of 60% in Actuarial Science 2427A/B. Restricted to students who have completed all courses specifically mentioned in the Major in Actuarial Science module.,0.50,Not Full,0,Main,In Person,  Tu   Th   8:30 AM - 10:30 AM WSC-240,ACTURSCI 4426F,ACTUARIAL PRACTICE I,"[{'day': 'Tuesday', 'start': '8:30 AM', 'end': '10:30 AM'}, {'day': 'Thursday', 'start': '8:30 AM', 'end': '10:30 AM'}]"
Actuarial Science,ACTURSCI 4823A - SURVIVAL ANALYSIS,"Course Description: Survival models, nonparametric estimation of the survival function, one and two or more sample hypothesis tests, inference for semiparametric regression models, inference for parametric regression models. Extra Information: 3 lecture hours.",LEC,001,4853,W. He,REQUISITES: Prerequisite(s): A minimum mark of 60% in Statistical Sciences 3858A/B.,0.50,Not Full,0,Main,In Person,"M         2:30 PM - 4:30 PM VAC-100
    W     3:30 PM - 4:30 PM VAC-100",ACTURSCI 4823A,SURVIVAL ANALYSIS,"[{'day': 'Monday', 'start': '2:30 PM', 'end': '4:30 PM'}, {'day': 'Wednesday', 'start': '3:30 PM', 'end': '4:30 PM'}]"
Actuarial Science,ACTURSCI 4823A - SURVIVAL ANALYSIS,"Course Description: Survival models, nonparametric estimation of the survival function, one and two or more sample hypothesis tests, inference for semiparametric regression models, inference for parametric regression models. Extra Information: 3 lecture hours.",LEC,001,4853,W. He,REQUISITES: Prerequisite(s): A minimum mark of 60% in Statistical Sciences 3858A/B.,0.50,Not Full,0,Main,In Person,"M         2:30 PM - 4:30 PM VAC-100
    W     3:30 PM - 4:30 PM VAC-100",ACTURSCI 4823A,SURVIVAL ANALYSIS,"[{'day': 'Monday', 'start': '2:30 PM', 'end': '4:30 PM'}, {'day': 'Wednesday', 'start': '3:30 PM', 'end': '4:30 PM'}]"
